[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.behandlingslager.økonomioppdrag.InntektskategoriKlassekodeMapperTest
[WARNING] Tests run: 128, Failures: 0, Errors: 0, Skipped: 17, Time elapsed: 0.045 s - in no.nav.foreldrepenger.behandlingslager.SjekkCollectionsOrderedIEntiteterTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.888 s - in no.nav.foreldrepenger.behandlingslager.behandling.AnkeRepositoryImplTest
[INFO] Tests run: 14, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.106 s - in no.nav.foreldrepenger.behandlingslager.behandling.BehandlingsgrunnlagEntitetTest
[INFO] Tests run: 30, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.177 s - in no.nav.foreldrepenger.behandlingslager.behandling.BehandlingRepositoryImplTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.021 s - in no.nav.foreldrepenger.behandlingslager.behandling.BehandlingsresultatTest
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.127 s - in no.nav.foreldrepenger.behandlingslager.behandling.BeregningResultatTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.251 s - in no.nav.foreldrepenger.behandlingslager.behandling.KlageRepositoryImplTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.066 s - in no.nav.foreldrepenger.behandlingslager.behandling.MottatteDokumentRepositoryImplTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.333 s - in no.nav.foreldrepenger.behandlingslager.behandling.SlettAvklarteDataTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.106 s - in no.nav.foreldrepenger.behandlingslager.behandling.VilkårResultatTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.191 s - in no.nav.foreldrepenger.behandlingslager.testutilities.kodeverk.KodeverkAvstemmingTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.159 s - in no.nav.foreldrepenger.behandlingslager.diff.TraverseEntityGraphTest
[WARNING] Tests run: 512, Failures: 0, Errors: 0, Skipped: 256, Time elapsed: 0.357 s - in no.nav.foreldrepenger.behandlingslager.EntityTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.031 s - in no.nav.foreldrepenger.behandlingslager.behandling.BehandlingLåsTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.261 s - in no.nav.foreldrepenger.behandlingslager.behandling.BehandlingEntitetTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.064 s - in no.nav.foreldrepenger.batch.task.BatchSchedulerTaskTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5.963 s - in no.nav.foreldrepenger.kodeverk.KodeverkSynkroniseringTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.05 s - in no.nav.foreldrepenger.kodeverk.KodeverkTjenesteImplTest
[INFO] Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.441 s - in no.nav.foreldrepenger.behandlingskontroll.impl.BehandlingskontrollTjenesteImplTest
[INFO] Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.294 s - in no.nav.foreldrepenger.behandlingskontroll.impl.BehandlingModellTest
[INFO] Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.636 s - in no.nav.foreldrepenger.behandlingskontroll.impl.observer.TilbakehoppTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.behandlingskontroll.impl.BehandlingModellEnkelTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.238 s - in no.nav.foreldrepenger.behandlingskontroll.impl.transisjoner.FremoverhoppTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.442 s - in no.nav.foreldrepenger.behandlingskontroll.impl.BehandlingskontrollEventPublisererTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s - in no.nav.foreldrepenger.behandlingskontroll.FagsakYtelseTypeRefTest
[INFO] Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5.313 s - in no.nav.foreldrepenger.dokumentarkiv.impl.DokumentArkivTjenesteTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5.094 s - in no.nav.foreldrepenger.behandling.impl.BehandlingskontrollAksjonspunktTypeAutopunktEventObserverTest
