[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.familiehendelse.aksjonspunkt.BekreftTerminbekreftelseValidatorTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.mottak.MottattDokumentSortererTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.web.app.konfig.RestApiAbacTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.web.app.tjenester.behandling.uttak.aksjonspunkt.UttakPerioderMapperTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.ytelse.beregning.tilbaketrekk.MapBRAndelSammenligningTidslinjeTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.økonomi.økonomistøtte.FastsettOppdragskontrollTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.økonomi.økonomistøtte.dagytelse.opphør.OpphørUtilTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.behandlingslager.behandling.aksjonspunkt.BehandlingPåVentTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.behandlingslager.økonomioppdrag.InntektskategoriKlassekodeMapperTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.behandlingsprosess.dagligejobber.gjenopptak.AutomatiskGjenopptagelseBatchTjenesteTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.behandlingsprosess.dagligejobber.gjenopptak.AutomatiskRegisterOppdateringBatchTjenesteTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.arbeidsforhold.aksjonspunkt.UtledBekreftetPermisjonStatusTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.arbeidsforhold.aksjonspunkt.UtledBekreftetPermisjonTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.opptjening.aksjonspunkt.AvklarAktivitetsPerioderOppdatererTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.uttak.fastsetteperioder.grunnlagbyggere.AdopsjonGrunnlagByggerTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.skjæringstidspunkt.es.RegisterinnhentingElastisiTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.web.app.tjenester.registrering.es.SøknadMapperTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.ytelse.beregning.svp.MapUttakResultatFraVLTilRegelTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.økonomi.økonomistøtte.es.AlleMottakereHarPositivKvitteringTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.behandling.steg.beregningsgrunnlag.fp.VurderDekningsgradVedDødsfallAksjonspunktUtlederTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.behandling.steg.simulering.SimulerOppdragAksjonspunktUtlederTest
